in_station,out_station,time_minute,time_hour_minute
18,2,536,08:56
12,18,428,07:08
22,19,438,07:18
12,14,525,08:45
13,23,441,07:21
13,11,507,08:27
17,22,475,07:55
18,3,479,07:59
11,13,502,08:22
11,21,453,07:33
24,12,482,08:02
7,2,491,08:11
11,18,534,08:54
11,9,484,08:04
13,9,501,08:21
8,13,426,07:06
13,12,453,07:33
18,22,506,08:26
13,2,485,08:05
15,1,466,07:46
2,20,534,08:54
18,7,492,08:12
14,6,454,07:34
18,13,437,07:17
16,2,489,08:09
18,15,524,08:44
24,13,533,08:53
18,7,474,07:54
21,19,511,08:31
19,17,425,07:05
14,13,420,07:00
12,24,465,07:45
12,11,481,08:01
2,7,535,08:55
11,5,471,07:51
15,13,470,07:50
24,23,479,07:59
11,7,491,08:11
3,4,483,08:03
8,14,500,08:20
17,23,496,08:16
20,13,498,08:18
23,8,471,07:51
20,13,469,07:49
15,6,454,07:34
19,13,485,08:05
7,20,435,07:15
15,11,530,08:50
13,7,528,08:48
16,9,474,07:54
17,7,492,08:12
17,8,535,08:55
17,19,432,07:12
7,24,430,07:10
8,24,433,07:13
8,11,517,08:37
19,9,526,08:46
7,11,463,07:43
13,7,521,08:41
16,15,427,07:07
18,15,477,07:57
17,5,434,07:14
18,22,537,08:57
3,24,487,08:07
16,20,424,07:04
24,17,460,07:40
6,12,517,08:37
15,12,494,08:14
17,11,478,07:58
17,24,425,07:05
14,5,535,08:55
16,11,504,08:24
2,8,536,08:56
14,12,484,08:04
21,24,500,08:20
13,2,517,08:37
21,24,440,07:20
3,11,475,07:55
13,19,502,08:22
14,21,507,08:27
16,13,439,07:19
13,11,536,08:56
19,2,521,08:41
7,12,451,07:31
3,22,495,08:15
15,13,482,08:02
20,5,497,08:17
12,15,516,08:36
17,4,516,08:36
18,24,454,07:34
1,11,522,08:42
15,11,482,08:02
4,13,473,07:53
13,21,528,08:48
13,24,512,08:32
7,24,472,07:52
23,5,478,07:58
2,10,538,08:58
5,13,492,08:12
13,16,454,07:34
5,2,456,07:36
14,23,451,07:31
17,12,535,08:55
22,5,473,07:53
5,9,436,07:16
14,24,488,08:08
8,3,466,07:46
23,22,514,08:34
8,24,488,08:08
18,14,489,08:09
7,2,518,08:38
14,9,481,08:01
2,12,510,08:30
10,11,444,07:24
17,7,456,07:36
12,24,473,07:53
20,3,429,07:09
13,16,441,07:21
2,11,533,08:53
15,12,522,08:42
12,14,430,07:10
4,21,430,07:10
17,3,422,07:02
3,23,460,07:40
18,20,498,08:18
2,11,493,08:13
11,22,458,07:38
11,5,496,08:16
3,6,532,08:52
13,19,508,08:28
12,3,475,07:55
14,13,469,07:49
15,11,505,08:25
4,3,524,08:44
21,3,440,07:20
13,5,461,07:41
20,9,480,08:00
7,24,497,08:17
24,17,477,07:57
14,1,439,07:19
15,22,532,08:52
22,18,494,08:14
19,20,476,07:56
4,15,492,08:12
19,23,431,07:11
13,9,536,08:56
20,13,446,07:26
7,8,443,07:23
14,5,526,08:46
3,8,466,07:46
15,3,426,07:06
13,11,433,07:13
19,4,518,08:38
9,22,430,07:10
7,15,489,08:09
7,13,472,07:52
18,11,478,07:58
15,5,472,07:52
7,17,496,08:16
13,5,527,08:47
24,18,518,08:38
3,2,427,07:07
21,12,535,08:55
15,21,427,07:07
24,5,494,08:14
7,24,458,07:38
7,4,489,08:09
18,10,513,08:33
15,13,535,08:55
13,18,475,07:55
16,15,484,08:04
23,22,517,08:37
24,11,427,07:07
12,18,503,08:23
23,5,469,07:49
17,21,470,07:50
4,20,459,07:39
12,16,423,07:03
17,14,456,07:36
11,17,526,08:46
15,14,439,07:19
3,6,502,08:22
13,11,515,08:35
16,9,507,08:27
18,7,444,07:24
23,12,504,08:24
20,8,538,08:58
22,11,499,08:19
7,8,529,08:49
17,18,443,07:23
5,8,496,08:16
17,9,475,07:55
18,6,464,07:44
7,22,534,08:54
10,13,458,07:38
2,19,478,07:58
16,24,518,08:38
4,11,532,08:52
21,11,423,07:03
4,10,445,07:25
3,13,473,07:53
2,15,450,07:30
15,5,478,07:58
5,15,523,08:43
13,4,484,08:04
12,11,454,07:34
11,20,440,07:20
21,11,487,08:07
15,4,526,08:46
24,17,503,08:23
24,11,482,08:02
3,4,518,08:38
17,7,529,08:49
11,1,507,08:27
4,13,496,08:16
17,3,508,08:28
20,15,532,08:52
3,14,431,07:11
4,3,537,08:57
5,18,435,07:15
8,6,533,08:53
17,12,428,07:08
24,21,425,07:05
24,6,424,07:04
13,6,426,07:06
11,19,511,08:31
14,15,484,08:04
11,17,494,08:14
4,3,497,08:17
12,1,500,08:20
17,21,476,07:56
16,13,504,08:24
17,22,502,08:22
23,7,493,08:13
17,5,443,07:23
6,19,485,08:05
5,9,452,07:32
13,11,442,07:22
18,2,467,07:47
16,19,510,08:30
17,13,502,08:22
19,9,505,08:25
24,11,428,07:08
3,7,514,08:34
14,24,528,08:48
14,3,487,08:07
13,19,455,07:35
8,3,475,07:55
17,10,459,07:39
18,4,468,07:48
19,8,485,08:05
12,17,532,08:52
13,9,498,08:18
17,24,431,07:11
22,7,521,08:41
21,16,435,07:15
17,21,421,07:01
13,23,450,07:30
14,2,479,07:59
24,18,431,07:11
3,7,436,07:16
15,13,455,07:35
17,13,472,07:52
4,9,436,07:16
11,14,429,07:09
6,21,464,07:44
17,11,483,08:03
17,8,492,08:12
14,20,433,07:13
20,11,421,07:01
16,3,428,07:08
2,12,498,08:18
15,22,463,07:43
15,17,459,07:39
13,21,427,07:07
15,11,454,07:34
22,15,504,08:24
13,14,526,08:46
7,13,509,08:29
13,7,533,08:53
2,7,502,08:22
24,6,532,08:52
4,23,511,08:31
13,9,445,07:25
11,23,533,08:53
5,7,502,08:22
14,23,490,08:10
15,3,466,07:46
18,13,450,07:30
12,11,534,08:54
13,19,532,08:52
18,11,529,08:49
5,13,463,07:43
17,13,494,08:14
9,11,474,07:54
19,2,528,08:48
15,22,445,07:25
17,21,420,07:00
19,8,438,07:18
21,4,534,08:54
5,6,480,08:00
3,9,531,08:51
7,11,487,08:07
3,8,479,07:59
12,11,473,07:53
7,11,506,08:26
6,12,506,08:26
18,11,481,08:01
14,11,504,08:24
13,7,437,07:17
23,8,453,07:33
13,5,431,07:11
4,23,447,07:27
4,7,535,08:55
18,20,510,08:30
14,23,478,07:58
11,7,452,07:32
13,11,509,08:29
5,8,540,09:00
10,7,534,08:54
17,7,519,08:39
18,15,500,08:20
13,6,488,08:08
14,8,469,07:49
7,8,511,08:31
3,7,421,07:01
7,12,485,08:05
3,15,441,07:21
17,9,483,08:03
2,11,423,07:03
3,13,479,07:59
14,19,459,07:39
24,9,425,07:05
13,24,490,08:10
15,24,524,08:44
17,24,430,07:10
16,11,529,08:49
7,11,433,07:13
3,5,455,07:35
2,24,491,08:11
19,7,482,08:02
13,24,510,08:30
13,9,533,08:53
24,15,510,08:30
3,11,432,07:12
24,9,450,07:30
15,7,511,08:31
12,20,508,08:28
13,2,487,08:07
19,9,425,07:05
13,12,437,07:17
15,22,425,07:05
2,12,528,08:48
7,22,454,07:34
18,11,448,07:28
7,10,472,07:52
18,5,453,07:33
13,5,422,07:02
24,14,510,08:30
15,11,431,07:11
16,13,523,08:43
12,3,510,08:30
15,24,482,08:02
15,24,488,08:08
5,1,478,07:58
13,5,443,07:23
19,11,510,08:30
23,7,446,07:26
4,11,456,07:36
17,11,520,08:40
7,2,500,08:20
2,4,486,08:06
13,24,467,07:47
6,14,506,08:26
20,11,445,07:25
13,11,473,07:53
13,2,463,07:43
17,10,489,08:09
4,13,522,08:42
6,22,522,08:42
12,5,490,08:10
15,11,470,07:50
17,18,536,08:56
3,14,457,07:37
17,8,464,07:44
12,9,535,08:55
13,11,464,07:44
15,11,443,07:23
3,24,449,07:29
12,14,493,08:13
24,8,530,08:50
12,5,483,08:03
13,11,463,07:43
11,6,526,08:46
20,18,488,08:08
12,5,448,07:28
7,22,466,07:46
4,3,427,07:07
19,12,521,08:41
13,14,461,07:41
19,4,440,07:20
12,7,467,07:47
14,12,525,08:45
13,12,493,08:13
3,4,484,08:04
11,12,493,08:13
8,14,429,07:09
9,22,471,07:51
15,1,442,07:22
6,13,517,08:37
19,2,499,08:19
13,20,425,07:05
13,2,438,07:18
2,5,478,07:58
13,19,450,07:30
12,18,483,08:03
13,19,481,08:01
14,22,420,07:00
20,22,472,07:52
7,4,477,07:57
24,11,523,08:43
17,11,480,08:00
18,9,472,07:52
13,11,424,07:04
19,11,502,08:22
13,9,460,07:40
19,16,495,08:15
24,11,525,08:45
13,11,536,08:56
24,5,515,08:35
13,7,476,07:56
23,24,472,07:52
19,23,436,07:16
13,17,532,08:52
12,23,436,07:16
18,22,476,07:56
10,5,434,07:14
23,9,436,07:16
9,21,501,08:21
2,13,440,07:20
19,24,436,07:16
22,16,436,07:16
13,18,451,07:31
18,9,456,07:36
8,6,523,08:43
17,11,539,08:59
22,23,483,08:03
21,12,444,07:24
7,8,464,07:44
24,7,432,07:12
19,6,437,07:17
21,19,449,07:29
4,7,462,07:42
19,17,436,07:16
8,17,504,08:24
13,15,458,07:38
17,13,481,08:01
22,6,511,08:31
18,3,464,07:44
12,11,482,08:02
5,4,468,07:48
3,11,440,07:20
14,12,463,07:43
12,5,462,07:42
12,14,460,07:40
12,13,443,07:23
16,13,479,07:59
4,14,521,08:41
12,9,494,08:14
9,8,538,08:58
17,2,447,07:27
2,23,504,08:24
3,11,514,08:34
4,16,496,08:16
19,20,511,08:31
22,0,535,08:55
24,8,531,08:51
3,5,477,07:57
7,24,424,07:04
22,7,535,08:55
13,11,440,07:20
21,22,446,07:26
8,11,424,07:04
14,8,488,08:08
21,13,458,07:38
24,23,488,08:08
12,15,527,08:47
4,5,539,08:59
17,4,423,07:03
20,18,524,08:44
24,3,430,07:10
12,8,434,07:14
17,7,526,08:46
23,20,502,08:22
19,5,424,07:04
24,18,500,08:20
7,15,479,07:59
13,3,501,08:21
19,11,431,07:11
13,7,517,08:37
16,13,528,08:48
13,20,432,07:12
22,3,450,07:30
24,11,480,08:00
11,1,521,08:41
2,11,425,07:05
19,21,498,08:18
12,19,528,08:48
8,12,514,08:34
24,14,487,08:07
9,23,482,08:02
20,6,501,08:21
16,20,474,07:54
17,13,514,08:34
17,13,482,08:02
17,18,503,08:23
16,11,422,07:02
13,22,523,08:43
11,13,429,07:09
7,11,466,07:46
6,5,500,08:20
23,18,440,07:20
19,11,529,08:49
11,5,425,07:05
16,5,491,08:11
7,3,444,07:24
13,21,445,07:25
11,7,477,07:57
14,20,437,07:17
18,17,519,08:39
8,11,478,07:58
22,21,460,07:40
13,18,447,07:27
22,19,457,07:37
8,2,442,07:22
17,18,462,07:42
13,1,515,08:35
7,19,457,07:37
24,6,497,08:17
23,11,454,07:34
8,19,483,08:03
2,4,491,08:11
18,9,427,07:07
12,9,485,08:05
20,3,535,08:55
12,19,505,08:25
4,11,458,07:38
23,22,538,08:58
3,12,453,07:33
13,19,452,07:32
13,7,480,08:00
24,2,515,08:35
7,1,438,07:18
13,19,475,07:55
2,3,450,07:30
24,9,489,08:09
24,8,485,08:05
20,15,523,08:43
15,1,509,08:29
19,12,485,08:05
15,1,501,08:21
4,2,453,07:33
12,6,451,07:31
19,11,458,07:38
13,11,524,08:44
3,6,454,07:34
14,11,486,08:06
12,18,498,08:18
17,22,465,07:45
18,3,479,07:59
7,5,522,08:42
18,0,438,07:18
11,8,497,08:17
11,24,535,08:55
11,23,477,07:57
13,24,514,08:34
17,23,460,07:40
16,8,522,08:42
2,11,527,08:47
15,21,472,07:52
12,5,537,08:57
16,7,437,07:17
7,11,427,07:07
8,21,465,07:45
3,8,422,07:02
21,15,491,08:11
12,5,464,07:44
18,15,532,08:52
21,22,453,07:33
22,4,445,07:25
14,24,480,08:00
16,11,467,07:47
2,19,477,07:57
17,16,452,07:32
5,13,483,08:03
17,1,444,07:24
13,5,449,07:29
2,5,453,07:33
11,14,475,07:55
2,13,467,07:47
23,17,446,07:26
24,22,480,08:00
24,7,495,08:15
20,5,514,08:34
13,12,537,08:57
12,11,459,07:39
11,5,538,08:58
24,23,530,08:50
13,10,455,07:35
24,3,429,07:09
20,13,500,08:20
18,13,492,08:12
18,23,444,07:24
19,5,472,07:52
7,4,455,07:35
4,15,480,08:00
12,22,511,08:31
24,7,443,07:23
11,22,529,08:49
15,4,476,07:56
17,7,512,08:32
12,23,503,08:23
16,23,427,07:07
12,4,472,07:52
14,11,457,07:37
0,23,488,08:08
2,22,462,07:42
24,21,531,08:51
7,5,526,08:46
3,15,451,07:31
7,5,437,07:17
13,21,465,07:45
22,2,497,08:17
14,18,470,07:50
23,8,433,07:13
14,7,428,07:08
13,11,505,08:25
17,13,517,08:37
4,5,517,08:37
19,23,464,07:44
7,11,422,07:02
19,2,470,07:50
18,6,442,07:22
4,11,490,08:10
13,21,429,07:09
22,2,484,08:04
12,14,531,08:51
24,13,433,07:13
4,12,499,08:19
14,19,524,08:44
17,3,438,07:18
23,5,505,08:25
2,19,446,07:26
4,1,529,08:49
13,4,488,08:08
12,3,505,08:25
20,12,432,07:12
16,3,455,07:35
24,12,432,07:12
21,13,496,08:16
5,11,526,08:46
9,11,505,08:25
5,3,521,08:41
11,16,525,08:45
16,20,441,07:21
15,21,424,07:04
12,8,423,07:03
14,11,438,07:18
13,11,434,07:14
4,8,464,07:44
7,13,479,07:59
3,5,490,08:10
12,19,534,08:54
13,2,491,08:11
18,2,531,08:51
13,24,532,08:52
2,18,462,07:42
13,20,441,07:21
2,15,478,07:58
10,7,441,07:21
18,3,514,08:34
2,24,493,08:13
19,11,434,07:14
12,11,474,07:54
4,18,455,07:35
20,5,460,07:40
24,21,484,08:04
24,12,506,08:26
17,3,533,08:53
21,13,469,07:49
3,21,458,07:38
11,19,474,07:54
17,1,470,07:50
23,12,530,08:50
23,22,486,08:06
24,11,514,08:34
13,1,510,08:30
3,21,499,08:19
14,6,524,08:44
23,1,526,08:46
15,1,439,07:19
21,24,508,08:28
11,24,462,07:42
2,1,537,08:57
7,19,499,08:19
13,22,452,07:32
16,24,428,07:08
17,23,446,07:26
14,11,427,07:07
17,13,496,08:16
13,3,481,08:01
18,13,500,08:20
16,7,464,07:44
12,3,476,07:56
5,6,483,08:03
12,24,484,08:04
17,2,463,07:43
24,5,484,08:04
7,15,424,07:04
12,11,466,07:46
13,21,450,07:30
12,13,483,08:03
15,22,503,08:23
16,12,468,07:48
17,23,535,08:55
19,17,504,08:24
13,22,466,07:46
12,23,451,07:31
10,13,490,08:10
4,6,520,08:40
24,2,449,07:29
24,11,426,07:06
17,20,439,07:19
17,9,493,08:13
12,14,494,08:14
2,13,431,07:11
13,4,428,07:08
2,9,530,08:50
5,16,487,08:07
4,17,474,07:54
12,5,467,07:47
1,12,465,07:45
11,18,471,07:51
2,22,463,07:43
19,22,423,07:03
7,18,491,08:11
12,20,473,07:53
17,15,470,07:50
20,4,513,08:33
7,2,476,07:56
12,23,509,08:29
17,4,528,08:48
12,11,441,07:21
20,19,505,08:25
12,20,489,08:09
18,14,487,08:07
11,22,424,07:04
14,21,509,08:29
12,4,449,07:29
15,3,502,08:22
13,2,540,09:00
23,12,480,08:00
13,7,513,08:33
3,13,510,08:30
22,24,520,08:40
17,5,430,07:10
4,3,507,08:27
19,24,522,08:42
14,1,447,07:27
18,1,467,07:47
9,11,437,07:17
3,15,498,08:18
13,7,479,07:59
13,15,505,08:25
7,24,472,07:52
20,3,441,07:21
6,5,452,07:32
6,14,488,08:08
21,24,493,08:13
13,11,443,07:23
14,11,534,08:54
7,23,462,07:42
15,23,500,08:20
2,18,532,08:52
17,1,496,08:16
6,11,453,07:33
14,21,507,08:27
2,10,524,08:44
8,1,444,07:24
22,12,520,08:40
19,18,514,08:34
17,9,463,07:43
4,14,422,07:02
20,24,512,08:32
12,9,504,08:24
15,14,445,07:25
2,11,447,07:27
7,13,539,08:59
19,3,516,08:36
2,14,425,07:05
24,11,426,07:06
14,24,508,08:28
11,13,503,08:23
17,7,423,07:03
23,22,518,08:38
13,7,525,08:45
2,13,446,07:26
8,4,458,07:38
17,11,477,07:57
13,5,478,07:58
14,6,525,08:45
12,11,452,07:32
5,7,490,08:10
18,3,512,08:32
14,24,532,08:52
19,20,505,08:25
23,6,466,07:46
19,5,494,08:14
4,24,457,07:37
19,11,444,07:24
14,12,510,08:30
13,1,453,07:33
15,6,511,08:31
15,7,487,08:07
3,5,474,07:54
12,7,532,08:52
15,14,472,07:52
20,3,538,08:58
15,11,467,07:47
8,19,489,08:09
16,5,540,09:00
12,3,537,08:57
22,23,497,08:17
17,9,522,08:42
17,14,426,07:06
2,11,473,07:53
13,22,438,07:18
17,8,448,07:28
16,15,495,08:15
18,22,430,07:10
17,9,440,07:20
11,14,533,08:53
13,12,512,08:32
3,8,444,07:24
8,13,470,07:50
12,13,423,07:03
15,13,447,07:27
15,4,465,07:45
13,23,420,07:00
24,13,467,07:47
17,1,468,07:48
2,21,426,07:06
17,7,486,08:06
23,7,530,08:50
23,13,517,08:37
4,11,535,08:55
23,21,432,07:12
16,11,510,08:30
12,11,449,07:29
13,19,507,08:27
2,21,535,08:55
18,11,507,08:27
14,5,537,08:57
16,22,501,08:21
24,11,439,07:19
13,3,536,08:56
23,7,495,08:15
15,22,450,07:30
2,11,493,08:13
11,5,490,08:10
23,12,498,08:18
7,24,465,07:45
17,5,483,08:03
14,3,477,07:57
5,12,441,07:21
24,19,453,07:33
19,11,503,08:23
19,18,435,07:15
3,9,449,07:29
19,13,450,07:30
18,24,522,08:42
10,5,470,07:50
12,8,438,07:18
24,22,469,07:49
14,4,431,07:11
23,24,435,07:15
4,12,434,07:14
17,1,468,07:48
11,9,477,07:57
12,1,422,07:02
2,18,520,08:40
13,11,491,08:11
21,8,436,07:16
7,13,522,08:42
7,8,537,08:57
19,15,462,07:42
23,6,482,08:02
14,24,502,08:22
24,10,454,07:34
14,6,521,08:41
13,8,487,08:07
18,5,448,07:28
20,24,462,07:42
21,14,431,07:11
23,0,473,07:53
15,7,501,08:21
24,17,497,08:17
19,9,483,08:03
17,9,503,08:23
4,17,519,08:39
15,11,526,08:46
7,19,465,07:45
3,7,506,08:26
21,14,450,07:30
3,9,518,08:38
15,8,485,08:05
11,24,480,08:00
12,19,498,08:18
24,5,472,07:52
24,4,451,07:31
18,14,514,08:34
12,5,455,07:35
5,22,477,07:57
5,9,523,08:43
13,24,466,07:46
21,8,464,07:44
11,8,461,07:41
18,8,499,08:19
17,5,487,08:07
12,11,439,07:19
16,18,492,08:12
13,11,520,08:40
14,6,482,08:02
23,11,535,08:55
24,3,447,07:27
12,17,487,08:07
17,3,459,07:39
13,7,498,08:18
12,2,506,08:26
16,3,473,07:53
18,7,506,08:26
8,15,531,08:51
14,6,484,08:04
3,13,464,07:44
17,24,527,08:47
2,6,523,08:43
13,17,520,08:40
7,11,488,08:08
16,24,447,07:27
24,8,424,07:04
24,5,503,08:23
12,9,528,08:48
13,4,509,08:29
18,10,438,07:18
13,11,475,07:55
17,7,437,07:17
23,19,473,07:53
4,22,423,07:03
7,24,445,07:25
2,7,507,08:27
13,22,516,08:36
22,9,507,08:27
7,11,474,07:54
12,20,538,08:58
22,11,480,08:00
20,3,481,08:01
14,9,465,07:45
19,11,510,08:30
13,19,447,07:27
1,13,495,08:15
14,4,535,08:55
15,20,421,07:01
8,24,454,07:34
3,5,449,07:29
9,6,475,07:55
12,23,514,08:34
23,5,518,08:38
3,19,475,07:55
18,11,474,07:54
18,6,448,07:28
13,24,510,08:30
22,5,459,07:39
14,3,437,07:17
12,4,522,08:42
20,15,525,08:45
21,5,502,08:22
13,24,456,07:36
22,5,422,07:02
4,2,458,07:38
11,1,459,07:39
17,23,521,08:41
20,9,519,08:39
2,11,497,08:17
24,11,510,08:30
17,1,435,07:15
13,9,449,07:29
3,24,449,07:29
20,14,538,08:58
12,9,421,07:01
13,11,533,08:53
4,5,451,07:31
9,7,467,07:47
19,8,537,08:57
14,21,475,07:55
2,22,475,07:55
13,9,478,07:58
2,21,485,08:05
2,7,444,07:24
13,4,444,07:24
13,9,516,08:36
19,24,472,07:52
13,11,528,08:48
12,21,461,07:41
15,16,479,07:59
24,5,480,08:00
12,11,521,08:41
23,11,499,08:19
5,11,500,08:20
23,13,431,07:11
13,4,512,08:32
13,24,449,07:29
13,5,423,07:03
12,23,503,08:23
9,13,509,08:29
14,12,515,08:35
17,4,470,07:50
17,9,506,08:26
12,19,429,07:09
19,3,436,07:16
2,13,490,08:10
22,5,435,07:15
21,15,486,08:06
16,24,440,07:20
16,15,508,08:28
13,11,474,07:54
4,21,426,07:06
12,15,503,08:23
11,13,487,08:07
19,13,428,07:08
21,12,426,07:06
3,21,471,07:51
5,8,538,08:58
15,14,506,08:26
13,15,430,07:10
13,9,534,08:54
13,15,427,07:07
19,20,426,07:06
11,10,425,07:05
18,11,466,07:46
23,8,518,08:38
3,19,452,07:32
17,7,530,08:50
13,4,516,08:36
17,22,521,08:41
13,10,509,08:29
14,3,533,08:53
15,9,475,07:55
3,12,505,08:25
12,17,508,08:28
23,14,423,07:03
13,1,459,07:39
13,6,527,08:47
13,6,437,07:17
22,8,538,08:58
11,19,519,08:39
9,11,469,07:49
12,22,538,08:58
15,24,499,08:19
7,11,459,07:39
13,23,507,08:27
19,4,527,08:47
5,24,469,07:49
14,13,469,07:49
2,15,460,07:40
14,18,514,08:34
7,2,495,08:15
4,18,502,08:22
4,13,462,07:42
19,13,429,07:09
24,13,454,07:34
3,8,487,08:07
5,14,484,08:04
18,15,435,07:15
18,19,501,08:21
13,22,447,07:27
24,10,439,07:19
12,7,462,07:42
5,15,521,08:41
3,5,442,07:22
20,7,508,08:28
4,14,486,08:06
2,7,530,08:50
13,14,450,07:30
4,14,476,07:56
2,4,495,08:15
2,5,461,07:41
17,11,532,08:52
17,11,472,07:52
23,14,509,08:29
22,11,493,08:13
20,13,508,08:28
23,5,432,07:12
11,5,513,08:33
23,13,421,07:01
12,11,455,07:35
11,21,475,07:55
5,11,425,07:05
14,5,518,08:38
3,13,538,08:58
14,7,516,08:36
19,23,538,08:58
14,13,473,07:53
20,19,491,08:11
3,13,433,07:13
20,7,468,07:48
8,24,479,07:59
16,8,445,07:25
4,13,481,08:01
2,14,515,08:35
14,23,451,07:31
12,6,423,07:03
12,11,529,08:49
5,14,527,08:47
12,15,432,07:12
18,5,453,07:33
23,11,442,07:22
9,6,514,08:34
19,13,483,08:03
4,11,521,08:41
11,24,486,08:06
22,6,494,08:14
7,9,470,07:50
19,11,531,08:51
20,16,495,08:15
13,8,535,08:55
11,20,504,08:24
12,7,457,07:37
22,3,447,07:27
12,22,533,08:53
16,23,423,07:03
9,2,506,08:26
2,23,540,09:00
3,21,444,07:24
13,21,495,08:15
3,21,539,08:59
4,23,445,07:25
11,3,434,07:14
21,22,453,07:33
13,24,484,08:04
8,14,537,08:57
12,11,472,07:52
13,6,438,07:18
17,13,437,07:17
12,14,490,08:10
3,24,526,08:46
15,6,432,07:12
6,9,487,08:07
14,24,522,08:42
20,17,425,07:05
2,21,466,07:46
19,8,526,08:46
17,13,488,08:08
2,15,432,07:12
7,11,505,08:25
21,13,469,07:49
11,23,519,08:39
12,9,463,07:43
13,11,480,08:00
17,21,518,08:38
5,8,447,07:27
13,24,427,07:07
16,11,517,08:37
4,23,463,07:43
11,2,450,07:30
15,17,490,08:10
23,20,452,07:32
16,15,434,07:14
24,11,442,07:22
19,3,448,07:28
14,18,434,07:14
8,12,435,07:15
16,8,451,07:31
17,15,439,07:19
13,5,457,07:37
23,19,536,08:56
17,23,466,07:46
9,18,491,08:11
7,22,426,07:06
11,14,477,07:57
17,12,497,08:17
17,23,435,07:15
15,20,446,07:26
2,24,443,07:23
16,21,497,08:17
7,6,504,08:24
17,20,495,08:15
18,11,436,07:16
20,5,526,08:46
15,24,447,07:27
19,5,425,07:05
2,5,479,07:59
3,22,492,08:12
7,6,426,07:06
12,21,483,08:03
12,6,464,07:44
19,12,508,08:28
7,5,450,07:30
11,24,509,08:29
14,13,431,07:11
7,9,465,07:45
16,8,443,07:23
21,5,507,08:27
11,14,503,08:23
2,9,474,07:54
4,5,469,07:49
13,5,486,08:06
11,13,451,07:31
4,11,507,08:27
5,18,487,08:07
20,22,500,08:20
18,5,512,08:32
12,9,477,07:57
15,14,474,07:54
13,23,493,08:13
20,11,529,08:49
7,8,442,07:22
13,5,490,08:10
23,14,453,07:33
17,8,479,07:59
22,11,486,08:06
16,5,462,07:42
24,5,493,08:13
7,24,477,07:57
6,11,532,08:52
24,14,447,07:27
18,8,517,08:37
14,11,454,07:34
15,19,440,07:20
3,5,470,07:50
7,11,540,09:00
5,13,527,08:47
5,14,448,07:28
6,22,465,07:45
13,11,517,08:37
4,9,472,07:52
4,14,504,08:24
17,20,536,08:56
13,20,456,07:36
15,21,503,08:23
7,8,428,07:08
13,7,486,08:06
9,24,442,07:22
2,4,459,07:39
2,24,469,07:49
11,4,495,08:15
